days,tiredness,prayer_time,temperature,hydration,fast
1,1.6710558154026245,51.884470497306204,34.21681587259782,8.154386705017766,0
2,9.345157759570647,58.32480230007403,21.221520480932927,0.9870715796983109,0
3,7.343755468247538,40.99109153510399,34.03990159006055,6.437346369885998,0
4,3.1905636239680826,46.47247646976595,39.159302602810236,9.158007411213449,1
5,4.380195701903748,54.31850710338381,43.34694075232824,8.143496958217415,0
6,9.124776831413916,36.78860087351879,23.887258950513168,3.339667538589941,0
7,4.798999845263031,52.970700309557024,37.24259237695924,9.665648767270458,0
8,8.878993974248866,17.9144743672273,45.66394597644637,3.253446142176759,0
9,1.9036851847809055,18.556928989759953,47.004764362063675,1.2158907873439562,0
10,1.1358384357929074,59.78146146188821,46.68780217924744,0.7706753353072338,1
11,5.797248462694294,18.335004928953747,45.96600018249259,7.228795155468799,0
12,1.2046817366759988,43.95383158640734,35.26213957956707,4.961640750166708,1
13,1.9881547819008039,49.73975941109588,23.148482362843016,9.54403821958394,1
14,3.7729924931204675,25.365517802571055,40.740920540158676,7.251159243852662,0
15,0.576413292489355,17.723847339853535,24.80995636318203,7.233587714124376,1
16,1.0455046590885386,44.99062823307486,31.7094761167377,8.622591558150365,1
17,0.3869311983370971,20.950344327437698,42.42782729752592,3.9566444234226683,0
18,5.770985011541365,18.019942185055896,20.956300241461953,3.7075170852459682,0
19,5.263903990419538,25.880820311982465,24.28525789116433,1.7728264822698458,1
20,7.994858152807622,40.395372384233916,24.3255252297377,7.825413427245217,0
21,7.696810101147852,19.067213986251613,28.745686805916733,1.8939139887252898,0
22,9.979681217715946,27.72182746113039,22.652474639222426,5.096964956637712,0
23,7.932509451121188,42.84712671426451,32.58698408179511,3.261228287101048,0
24,3.3775120451808496,16.076110068804063,44.442235766635704,0.9895819989280386,0
25,9.56395423211394,18.757495781928615,39.90668334448927,3.2640326482529822,0
26,1.2603677325160911,19.601278273861535,37.955526505564904,9.54212543705443,1
27,0.9364398635941862,38.60951442581671,22.27263632711367,5.622197621406282,1
28,1.1837913815885193,49.775188361973576,32.88057457741621,1.161582952244653,0
29,6.319733913636279,18.50799205594534,28.790817651942195,4.407505656317938,1
30,4.09326712956955,47.04365506789627,47.70350392735001,5.876307505931856,1
31,8.422607869780482,15.620150459335012,40.856234748503375,3.7488064903802276,0
32,5.619205048239162,36.12064244122331,21.546932271694995,8.327376069066984,1
33,3.6228050209753193,57.01380920607651,23.07846583944236,5.428169908598667,1
34,6.820798883896247,33.80498821322058,29.54097766789851,6.711790268970873,1
