Re_rho_00,Re_rho_01,Re_rho_02,Re_rho_03,Re_rho_10,Re_rho_11,Re_rho_12,Re_rho_13,Re_rho_20,Re_rho_21,Re_rho_22,Re_rho_23,Re_rho_30,Re_rho_31,Re_rho_32,Re_rho_33
0.048657321917989986,-0.0022354050129268265,-0.00775507961335536,0.09307220105305204,-0.0022354050129268265,0.011930193908679661,-0.07411146576192437,-0.06297164742963457,-0.00775507961335536,-0.07411146576192437,0.47009652591642986,0.35472352238277,0.09307220105305204,-0.06297164742963457,0.35472352238277,0.4693159582569003
0.035056837580001186,-0.0901907287600962,-0.025109833580663696,0.010380097465196091,-0.0901907287600962,0.4970398762500309,0.38315547351769697,0.1034451987866892,-0.025109833580663696,0.38315547351769697,0.400910384418572,0.14901436308255323,0.010380097465196091,0.1034451987866892,0.14901436308255323,0.06699290175139627
0.3881440208379565,-0.07938949205560039,0.12457083617818583,-0.08043716010229959,-0.07938949205560039,0.018310092766710123,-0.03675932316442509,-0.014936341708201248,0.12457083617818583,-0.03675932316442509,0.10138703448158477,0.14506027602547153,-0.08043716010229959,-0.014936341708201248,0.14506027602547153,0.49215885191374836
0.10927532161142192,0.019093633661543565,0.1642971577345196,-0.2190220347970367,0.019093633661543565,0.01619526309863867,0.0079560047602633,-0.08291851008771038,0.1642971577345196,0.0079560047602633,0.2805116791092162,-0.2572499052881687,-0.2190220347970367,-0.08291851008771038,-0.2572499052881687,0.5940177361807232
0.004882141777210347,-0.04402531411194946,-0.032154265956386555,0.006418904691164505,-0.04402531411194946,0.5526807652088533,0.19311740527661353,0.10091865420051642,-0.032154265956386555,0.19311740527661353,0.2720082165178103,-0.14105696125587683,0.006418904691164505,0.10091865420051642,-0.14105696125587683,0.17042887649612615
0.5795822013830622,0.25269406442250314,0.12639680069398282,-0.37883964121309904,0.25269406442250314,0.11618608531214775,0.06615611286615375,-0.1724221581844916,0.12639680069398282,0.06615611286615375,0.04786335810369737,-0.09593979285544467,-0.37883964121309904,-0.1724221581844916,-0.09593979285544467,0.25636835520109275
0.09232099827996687,-0.16338004040304652,-0.09396272148307343,-0.12218625449670112,-0.16338004040304652,0.557879158317137,0.00949405667203703,0.20001507774765492,-0.09396272148307343,0.00949405667203703,0.18710848266123972,0.13382056435858686,-0.12218625449670112,0.20001507774765492,0.13382056435858686,0.16269136074165622
0.19536359767012218,0.07289509332834462,0.05274268239668686,-0.05135741535793185,0.07289509332834462,0.027212081201363866,0.021540604905119887,-0.01664421703465356,0.05274268239668686,0.021540604905119887,0.27900262643603685,0.3444495622881763,-0.05135741535793185,-0.01664421703465356,0.3444495622881763,0.4984216946924771
0.12066852244532107,0.13252252733957437,0.01101203533262319,0.2092466226789546,0.13252252733957437,0.34410008107588125,-0.05046649118317961,0.056264724665737814,0.01101203533262319,-0.05046649118317961,0.020715913705417522,0.07377226101443851,0.2092466226789546,0.056264724665737814,0.07377226101443851,0.5145154827733803
0.0006309323821910778,-0.005844758176225122,0.007251776153269467,-0.014416137588283317,-0.005844758176225122,0.1806856117403737,-0.29382364620177875,0.1338868645939425,0.007251776153269467,-0.29382364620177875,0.48928904484117697,-0.1663049575173318,-0.014416137588283317,0.1338868645939425,-0.1663049575173318,0.3293944110362582
0.15667733495736466,0.07303979532429884,-0.23766600486558256,-0.03391586667184874,0.07303979532429884,0.08466245518161054,0.01528231516522911,-0.07813223384600965,-0.23766600486558256,0.01528231516522911,0.6745799413840466,-0.10379618260718153,-0.03391586667184874,-0.07813223384600965,-0.10379618260718153,0.08408026847697787
0.17629574107645532,-0.009543243854218885,0.051018837088089485,0.11721886566032803,-0.009543243854218885,0.0845112401422494,0.04063807477805205,0.22260477873604975,0.051018837088089485,0.04063807477805205,0.03718910293105392,0.15222031604913,0.11721886566032803,0.22260477873604975,0.15222031604913,0.7020039158502414
0.6633312552738784,0.21339699886105815,0.15436211414497797,0.3381921496370337,0.21339699886105815,0.0777524631562307,0.046156824686502465,0.08763175366678633,0.15436211414497797,0.046156824686502465,0.03726885805712052,0.08684454245299784,0.3381921496370337,0.08763175366678633,0.08684454245299784,0.22164742351277003
0.01226087347598756,-0.011198155319908002,-0.10600456206517958,-0.004645105566869088,-0.011198155319908002,0.022411829024552528,0.12015336307066138,0.009627589323012236,-0.10600456206517958,0.12015336307066138,0.9611874118447212,0.05047466144957151,-0.004645105566869088,0.009627589323012236,0.05047466144957151,0.004139885654738613
