Re_rho_00,Re_rho_01,Re_rho_02,Re_rho_03,Re_rho_10,Re_rho_11,Re_rho_12,Re_rho_13,Re_rho_20,Re_rho_21,Re_rho_22,Re_rho_23,Re_rho_30,Re_rho_31,Re_rho_32,Re_rho_33,Cluster
0.0486573219179899,-0.0022354050129268,-0.0077550796133553,0.093072201053052,-0.0022354050129268,0.0119301939086796,-0.0741114657619243,-0.0629716474296345,-0.0077550796133553,-0.0741114657619243,0.4700965259164298,0.35472352238277,0.093072201053052,-0.0629716474296345,0.35472352238277,0.4693159582569003,0
0.0350568375800011,-0.0901907287600962,-0.0251098335806636,0.010380097465196,-0.0901907287600962,0.4970398762500309,0.3831554735176969,0.1034451987866892,-0.0251098335806636,0.3831554735176969,0.400910384418572,0.1490143630825532,0.010380097465196,0.1034451987866892,0.1490143630825532,0.0669929017513962,1
0.3881440208379565,-0.0793894920556003,0.1245708361781858,-0.0804371601022995,-0.0793894920556003,0.0183100927667101,-0.036759323164425,-0.0149363417082012,0.1245708361781858,-0.036759323164425,0.1013870344815847,0.1450602760254715,-0.0804371601022995,-0.0149363417082012,0.1450602760254715,0.4921588519137483,0
0.1092753216114219,0.0190936336615435,0.1642971577345196,-0.2190220347970367,0.0190936336615435,0.0161952630986386,0.0079560047602633,-0.0829185100877103,0.1642971577345196,0.0079560047602633,0.2805116791092162,-0.2572499052881687,-0.2190220347970367,-0.0829185100877103,-0.2572499052881687,0.5940177361807232,2
0.0048821417772103,-0.0440253141119494,-0.0321542659563865,0.0064189046911645,-0.0440253141119494,0.5526807652088533,0.1931174052766135,0.1009186542005164,-0.0321542659563865,0.1931174052766135,0.2720082165178103,-0.1410569612558768,0.0064189046911645,0.1009186542005164,-0.1410569612558768,0.1704288764961261,2
0.5795822013830622,0.2526940644225031,0.1263968006939828,-0.378839641213099,0.2526940644225031,0.1161860853121477,0.0661561128661537,-0.1724221581844916,0.1263968006939828,0.0661561128661537,0.0478633581036973,-0.0959397928554446,-0.378839641213099,-0.1724221581844916,-0.0959397928554446,0.2563683552010927,2
0.0923209982799668,-0.1633800404030465,-0.0939627214830734,-0.1221862544967011,-0.1633800404030465,0.557879158317137,0.009494056672037,0.2000150777476549,-0.0939627214830734,0.009494056672037,0.1871084826612397,0.1338205643585868,-0.1221862544967011,0.2000150777476549,0.1338205643585868,0.1626913607416562,1
0.1953635976701221,0.0728950933283446,0.0527426823966868,-0.0513574153579318,0.0728950933283446,0.0272120812013638,0.0215406049051198,-0.0166442170346535,0.0527426823966868,0.0215406049051198,0.2790026264360368,0.3444495622881763,-0.0513574153579318,-0.0166442170346535,0.3444495622881763,0.4984216946924771,0
0.120668522445321,0.1325225273395743,0.0110120353326231,0.2092466226789546,0.1325225273395743,0.3441000810758812,-0.0504664911831796,0.0562647246657378,0.0110120353326231,-0.0504664911831796,0.0207159137054175,0.0737722610144385,0.2092466226789546,0.0562647246657378,0.0737722610144385,0.5145154827733803,0
0.000630932382191,-0.0058447581762251,0.0072517761532694,-0.0144161375882833,-0.0058447581762251,0.1806856117403737,-0.2938236462017787,0.1338868645939425,0.0072517761532694,-0.2938236462017787,0.4892890448411769,-0.1663049575173318,-0.0144161375882833,0.1338868645939425,-0.1663049575173318,0.3293944110362582,1
0.1566773349573646,0.0730397953242988,-0.2376660048655825,-0.0339158666718487,0.0730397953242988,0.0846624551816105,0.0152823151652291,-0.0781322338460096,-0.2376660048655825,0.0152823151652291,0.6745799413840466,-0.1037961826071815,-0.0339158666718487,-0.0781322338460096,-0.1037961826071815,0.0840802684769778,1
